date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:38	33541/33541	---MCZ	200	added ('OK')	text/html	etag:W/%228305-5849bc2e53c0e%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/index.html	(from )
17:41:39	76/76	---MCZ	200	added ('OK')	text/plain	date:Mon,%2002%20Sep%202019%2012:41:42%20GMT	https://themes.3rdwavemedia.com/robots.txt		(from )
17:41:39	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-56f05e53148bb%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/favicon.ico	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/favicon.ico	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:40	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%222606e-5849bba4cbe1a%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:42	89763/89763	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2002%20Sep%202019%2012:41:40%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/portfolio/connect.facebook.net/en_US/fbevents.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:42	16324/16324	---MCZ	200	added ('OK')	text/css	etag:W/%223fc4-5849bbab791a7%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/css/theme-1.css	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/css/theme-1.css	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:42	1123786/1123786	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d4ceb0a01abfb7550fb9786c8cd3a3a9%22	https://use.fontawesome.com/releases/v5.8.0/js/all.js	C:/My%20Web%20Sites/portfolio/use.fontawesome.com/releases/v5.8.0/js/all.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:42	32349/32349	---M--	200	added ('OK')	image/png	etag:%227e5d-56f05f8c2439e%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/profile-image.png	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/profile-image.png	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:43	26602/26602	---M--	200	added ('OK')	image/jpeg	etag:%2267ea-56f05f7fa3cd1%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-1.jpg	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-1.jpg	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:43	24102/24102	---M--	200	added ('OK')	image/jpeg	etag:%225e26-56f05f80fc09b%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-2.jpg	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-2.jpg	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:43	34457/34457	---M--	200	added ('OK')	image/jpeg	etag:%228699-56f05f82e9b02%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-3.jpg	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-3.jpg	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:43	18121/18121	---M--	200	added ('OK')	image/jpeg	etag:%2246c9-56f05f83c27be%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-4.jpg	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-4.jpg	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:44	20950/20950	---M--	200	added ('OK')	image/jpeg	etag:%2251d6-56f05f855417e%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-5.jpg	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-5.jpg	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:44	24091/24091	---M--	200	added ('OK')	image/jpeg	etag:%225e1b-56f05f86f4d6f%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-6.jpg	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-6.jpg	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:45	27728/27728	---M--	200	added ('OK')	image/jpeg	etag:%226c50-56f05f879387c%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-7.jpg	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-7.jpg	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:45	31265/31265	---M--	200	added ('OK')	image/jpeg	etag:%227a21-56f05f88b8026%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-8.jpg	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/images/portfolio/portfolio-8.jpg	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:46	86927/86927	---MCZ	200	added ('OK')	application/javascript	etag:W/%221538f-56f0625611827%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/jquery-3.3.1.min.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/jquery-3.3.1.min.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:46	18994/18994	---MCZ	200	added ('OK')	application/javascript	etag:W/%224a32-56f0627f7eee2%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/popper.min.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/popper.min.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:46	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2d8-5849bba919af0%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/bootstrap/js/bootstrap.min.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:47	3805/3805	---MCZ	200	added ('OK')	application/javascript	etag:W/%22edd-56f0f9916b88d%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/back-to-top.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/back-to-top.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:47	2444/2444	---MCZ	200	added ('OK')	application/javascript	etag:W/%2298c-56f0626bbd178%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/jquery-scrollTo/jquery.scrollTo.min.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/jquery-scrollTo/jquery.scrollTo.min.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:47	3990/3990	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f96-56f06003567e0%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/easy-pie-chart/dist/jquery.easypiechart.min.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/easy-pie-chart/dist/jquery.easypiechart.min.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:47	6949/6949	---MCZ	200	added ('OK')	application/javascript	etag:W/%221b25-56f06252c5467%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/imagesloaded.pkgd.min.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/imagesloaded.pkgd.min.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:48	35445/35445	---MCZ	200	added ('OK')	application/javascript	etag:W/%228a75-56f0f9922fd2b%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/isotope.pkgd.min.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/plugins/isotope.pkgd.min.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:48	2125/2125	---MCZ	200	added ('OK')	application/javascript	etag:W/%2284d-56f05f98a8cd2%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/js/main.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/js/main.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:48	1651/1651	---MCZ	200	added ('OK')	application/javascript	etag:W/%22673-56f05f965bb15%22	https://themes.3rdwavemedia.com/sphere/bs4/4.0/assets/js/demo/style-switcher.js	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/assets/js/demo/style-switcher.js	(from https://themes.3rdwavemedia.com/sphere/bs4/4.0/)
17:41:49	217/217	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Sep%202019%2012:41:52%20GMT	https://themes.3rdwavemedia.com/sphere/bs4/4.0/POST	C:/My%20Web%20Sites/portfolio/themes.3rdwavemedia.com/sphere/bs4/4.0/POST	(from http://connect.facebook.net/en_US/fbevents.js)
